Price,price
Ticker,SPY
Date,
2006-10-24,96.40406036376953
2006-10-25,96.73261260986328
2006-10-26,97.03324127197266
2006-10-27,96.42504119873047
2006-10-30,96.35506439208984
2006-10-31,96.3410873413086
2006-11-01,95.69090270996094
2006-11-02,95.63491821289062
2006-11-03,95.46713256835938
2006-11-06,96.54388427734375
2006-11-07,96.91445922851562
2006-11-08,97.12419128417969
2006-11-09,96.6137466430664
2006-11-10,96.65572357177734
2006-11-13,96.89347076416016
2006-11-14,97.62062072753906
2006-11-15,97.90027618408203
2006-11-16,98.15203094482422
2006-11-17,98.1799545288086
2006-11-20,98.23590850830078
2006-11-21,98.33380126953125
2006-11-22,98.52957153320312
2006-11-24,98.13102722167969
2006-11-27,96.78160858154297
2006-11-28,97.2010726928711
2006-11-29,98.21492004394531
2006-11-30,98.25684356689453
2006-12-01,98.04013061523438
2006-12-04,98.78826904296875
2006-12-05,99.21472930908203
2006-12-06,99.13084411621094
2006-12-07,98.6973876953125
2006-12-08,98.87915802001953
2006-12-11,99.16581726074219
2006-12-12,99.08893585205078
2006-12-13,99.1937484741211
2006-12-14,100.0677719116211
2006-12-15,100.07689666748047
2006-12-18,99.80270385742188
2006-12-19,99.9925537109375
2006-12-20,99.93626403808594
2006-12-21,99.57072448730469
2006-12-22,98.95901489257812
2006-12-26,99.5425796508789
2006-12-27,100.19642639160156
2006-12-28,99.98551940917969
2006-12-29,99.57072448730469
2007-01-03,99.39486694335938
2007-01-04,99.60587310791016
2007-01-05,98.81134796142578
2007-01-08,99.26835632324219
2007-01-09,99.18400573730469
2007-01-10,99.51441955566406
2007-01-11,99.95034790039062
2007-01-12,100.70970153808594
2007-01-16,100.51282501220703
2007-01-17,100.55497741699219
2007-01-18,100.21751403808594
2007-01-19,100.41441345214844
2007-01-22,100.10504150390625
2007-01-23,100.40032958984375
2007-01-24,101.20886993408203
2007-01-25,100.0206298828125
2007-01-26,99.92926788330078
2007-01-29,99.87299346923828
2007-01-30,100.39330291748047
2007-01-31,101.0682601928711
2007-02-01,101.67292022705078
2007-02-02,101.81350708007812
2007-02-05,101.84166717529297
2007-02-06,101.86976623535156
2007-02-07,102.09473419189453
2007-02-08,101.9611587524414
2007-02-09,101.2018814086914
2007-02-12,100.8573226928711
2007-02-13,101.70804595947266
2007-02-14,102.3759994506836
2007-02-15,102.50960540771484
2007-02-16,102.4603500366211
2007-02-20,102.67829895019531
2007-02-21,102.63615417480469
2007-02-22,102.55877685546875
2007-02-23,102.15803527832031
2007-02-26,102.06664276123047
2007-02-27,98.08013916015625
2007-02-28,99.0855484008789
2007-03-01,98.79024505615234
2007-03-02,97.49655151367188
2007-03-05,96.56852722167969
2007-03-06,98.22077178955078
2007-03-07,98.1223373413086
2007-03-08,98.95201110839844
2007-03-09,98.9801254272461
2007-03-12,99.12777709960938
2007-03-13,97.20130920410156
2007-03-14,97.92546844482422
2007-03-15,98.05902862548828
2007-03-16,97.78446197509766
2007-03-19,98.9632568359375
2007-03-20,99.50675964355469
2007-03-21,101.1444091796875
2007-03-22,101.0667724609375
2007-03-23,101.21501159667969
2007-03-26,101.08087921142578
2007-03-27,100.84089660644531
2007-03-28,100.10676574707031
2007-03-29,100.21270751953125
2007-03-30,100.23387145996094
2007-04-02,100.34677124023438
2007-04-03,101.42676544189453
2007-04-04,101.53974151611328
2007-04-05,101.81498718261719
2007-04-09,101.95623779296875
2007-04-10,102.076171875
2007-04-11,101.65971374511719
2007-04-12,102.11145782470703
2007-04-13,102.57732391357422
2007-04-16,103.55142974853516
2007-04-17,103.82671356201172
2007-04-18,103.95380401611328
2007-04-19,103.9255599975586
2007-04-20,104.90673065185547
2007-04-23,104.51146697998047
2007-04-24,104.55378723144531
2007-04-25,105.51374053955078
2007-04-26,105.63375854492188
2007-04-27,105.54904174804688
2007-04-30,104.67378234863281
2007-05-01,104.94203186035156
2007-05-02,105.55610656738281
2007-05-03,106.12789916992188
2007-05-04,106.53021240234375
2007-05-07,106.55139923095703
2007-05-08,106.41020965576172
2007-05-09,106.6996841430664
2007-05-10,105.5843734741211
2007-05-11,106.48788452148438
2007-05-14,106.25492858886719
2007-05-15,106.2831802368164
2007-05-16,107.01022338867188
2007-05-17,106.79850006103516
2007-05-18,107.73020935058594
2007-05-21,107.67373657226562
2007-05-22,107.58905792236328
2007-05-23,107.60313415527344
2007-05-24,106.6290512084961
2007-05-25,107.07379913330078
2007-05-29,107.46196746826172
2007-05-30,108.33727264404297
2007-05-31,108.22428894042969
2007-06-01,108.76078796386719
2007-06-04,108.77488708496094
2007-06-05,108.34432983398438
2007-06-06,107.17960357666016
2007-06-07,105.24553680419922
2007-06-08,106.61493682861328
2007-06-11,106.79850006103516
2007-06-12,105.63375854492188
2007-06-13,107.21493530273438
2007-06-14,107.89965057373047
2007-06-15,108.5135498046875
2007-06-18,108.38591766357422
2007-06-19,108.65534973144531
2007-06-20,107.14530944824219
2007-06-21,107.74079132080078
2007-06-22,106.72704315185547
2007-06-25,106.21669006347656
2007-06-26,105.12491607666016
2007-06-27,106.62078857421875
2007-06-28,106.60655212402344
2007-06-29,106.64198303222656
2007-07-02,107.60618591308594
2007-07-03,107.9959945678711
2007-07-05,107.88260650634766
2007-07-06,108.44969940185547
2007-07-09,108.53482818603516
2007-07-10,106.98936462402344
2007-07-11,107.74793243408203
2007-07-12,109.44930267333984
2007-07-13,109.77537536621094
2007-07-16,109.76116180419922
2007-07-17,109.70454406738281
2007-07-18,109.50604248046875
2007-07-19,109.931396484375
2007-07-20,108.81838989257812
2007-07-23,109.1515884399414
2007-07-24,107.2587661743164
2007-07-25,107.47850036621094
